label_id,caab_code,description
1,00000000,"Not Considered"
273,00000001,Unscorable.
274,00000002,"Not of Interest"
655,00000003,Unknown
13,10000000,Sponges
28,10000901,"Sponges: Crusts"
29,10000902,"Sponges: Crusts: Encrusting"
14,10000903,"Sponges: Massive forms"
16,10000904,"Sponges: Massive forms: Simple"
17,10000905,"Sponges: Massive forms: Radially organised"
15,10000906,"Sponges: Massive forms: Stalked"
19,10000907,"Sponges: Massive forms: Barrels"
18,10000908,"Sponges: Massive forms: Cryptic"
20,10000909,"Sponges: Hollow forms"
22,10000910,"Sponges: Hollow forms: Cups and alikes"
21,10000911,"Sponges: Hollow forms: Tubes and chimneys"
23,10000912,"Sponges: Erect forms"
26,10000913,"Sponges: Erect forms: Laminar"
25,10000914,"Sponges: Erect forms: Palmate"
27,10000915,"Sponges: Erect forms: Branching"
24,10000916,"Sponges: Erect forms: Simple"
658,10000917,"Sponges: Crusts: Creeping / ramose"
78,11000901,"Jellies: Hydromedusae"
124,11001000,"Cnidaria: Hydroids"
125,11077000,"Cnidaria: Hydrocorals"
74,11090000,"Jellies: Siphonophores"
75,11120000,"Jellies: Scyphozoa"
79,11150000,"Jellies: Cubozoa"
119,11164000,"Cnidaria: Tube anemones"
126,11168000,"Cnidaria: Corals"
143,11168901,"Cnidaria: Corals: Black & Octocorals"
152,11168902,"Cnidaria: Corals: Black & Octocorals: Branching (3D)"
153,11168903,"Cnidaria: Corals: Black & Octocorals: Branching (3D): Non-fleshy"
158,11168904,"Cnidaria: Corals: Black & Octocorals: Branching (3D): Non-fleshy: Arborescent"
155,11168905,"Cnidaria: Corals: Black & Octocorals: Branching (3D): Non-fleshy: Bottle-brush"
156,11168906,"Cnidaria: Corals: Black & Octocorals: Branching (3D): Non-fleshy: Bottle-brush: Simple"
157,11168907,"Cnidaria: Corals: Black & Octocorals: Branching (3D): Non-fleshy: Bottle-brush: Complex"
154,11168908,"Cnidaria: Corals: Black & Octocorals: Branching (3D): Non-fleshy: Bushy"
159,11168909,"Cnidaria: Corals: Black & Octocorals: Branching (3D): Fleshy"
160,11168910,"Cnidaria: Corals: Black & Octocorals: Branching (3D): Fleshy: Mushroom"
161,11168911,"Cnidaria: Corals: Black & Octocorals: Branching (3D): Fleshy: Arborescent"
146,11168912,"Cnidaria: Corals: Black & Octocorals: Fan (2D)"
