cpc_code,caab_code
CO,11168000
CSC,11290000
C1,11290000
C2,11290000
C3,11290000
ACRO,11291901
ACRO1,11291901
MON,11291904
TUR,54105903
TUB,11320914
FAV,11290000
FAV1,11290000
Blank,ROOT
CTAB,11290911
TAR,11291901
TARS,11291114
CSM,11290905
SMCY,11305904
SMFA,11290905
SMFE,11305908
SMGO,11305909
SMGA,11305055
SMM,11290905
SMMC,11290905
SMPA,11305916
SMPV,11305093
SMH,11305919
SMAA,11307901
SMAE,11307003
SMAH,11307006
SMAL,11307008
SMG,11325902
SMPO,11325903
SMPH,11325044
SMPS,11302901
SMCO,11296901
SMF,11290905
CMAS,11290906
MMU,11290906
CFOL,11290907
FTF,11320007
FTM,11320010
FTPA,11320011
FTPE,11320012
FEC,11307913
FMY,11305923
FCO,11296901
FPEC,11290907
CEN,11290908
EAR,11291901
EISO,11291905
EMON,11291904
EPAV,11297905
ETR,11320013
ETS,11320015
EMU,11290908
CDIG,11290909
DAR,11291901
CCOR,11290910
CAR,11291901
CBR,11290912
BAR,11291901
BARR,11291103
BPOC,11293000
BPO,11293901
BPD,11293003
BPA,11293020
BSH,11293016
BSTY,11293903
CSO,11290901
CSOFL,11290902
CSOA,11290903
OCT,11168901
OW,11168917
OQ,11168918
OF,11168912
OFR,11168916
OFF,11168913
OFFS,11168914
OFFC,11168915
OE,11168919
OM,11168920
OB,11168902
OBN,11168903
OBNB,11168908
OBNBB,11168905
OBNBS,11168906
OBNBC,11168907
OBNA,11168904
OBF,11168909
OBFM,11168910
OBFA,11168911
TUA,11164000
TRA,11229000
TRAO,11229903
TRAFO,11229902
TRAFL,11229901
HYDD,11001000
HYDCO,11077000
CA,11500901
CAZ,11284000
CACO,11280000
S,10000000
SPS1,10000000
SPS2,10000000
SM,10000903
SMST,10000903
SMB,10000903
SMC,10000903
SMSI,10000904
SMRA,10000905
SH,10000909
SHCA,10000910
SHTC,10000911
SE,10000912
SES,10000916
SEP,10000914
SEL,10000913
SEB,10000915
SCR,10000901
MA,80300000
MA2,80300000
MA1,80300000
MATA,80300000
MAM,80300922
MAMR,80300925
MAMG,80300924
MAMB,80300923
MALC,80300901
MALCB,80300902
ECKL,54080001
MALA,80300918
MALAR,80300921
MALAG,80300920
MALAB,80300919
MAG,80300914
MAGR,80300917
MAGG,80300916
MAGB,80300915
MAF,80300930
MAFR,80300933
MAFG,80300932
MAFB,80300931
MAEF,80300907
MAEFR,80300910
MAEFG,80300909
MAEFB,80300908
MAEC,80300903
MAECR,80300906
MAECG,80300905
MAECB,80300904
MAEN,80300926
MAENC,80300929
MAENR,80300929
MAENG,80300928
MAENB,80300927
MAAC,80300911
MAACR,80300913
MAACG,80300912
BRYO,20000000
BS,20000905
BSF,20000907
BSD,20000906
BH,20000901
BHM,20000904
BHF,20000903
BHE,20000902
AS,35000000
ASU,35000901
ASUS,35000902
ASUC,35000903
ASS,35000904
ASSS,35000905
ASSC,35000906
ECHI,25000000
EUR,25200000
EURR,25200901
CROD,25211001
EURI,25200902
ESS,25102000
ESC,25400000
ESCP,25400902
ESCB,25400901
EO,25160000
EOBRI,25160901
EOBS,25160902
EFS,25001000
EFSU,25001902
EFSS,25001901
MO,23000000
MOG,24000000
MOCH,23100000
MOB,23199000
CRU,27000000
CRB,27500000
CRBS,27500901
CRBA,27500902
WO,80600901
WP,22000000
WPTW,22000901
WPOP,22000902
WPE,15400000
WF,13000000
WES,80600902
WESS,17000000
WESE,17020000
WAW,36110000
SEA,63600901
BRAC,19100000
BAM,72000901
BAMO,72000902
BAMC,70000901
SUB,82001000
SUN,82001005
SUSA,82001005
SUPG,82001006
SC,82001001
SCRO,82001002
SCCOB,82001004
SCBOU,82001003
DC,Dead coral
U,80000000
ENBU,80000000
BBU,80000000
MBU,80000000
TWS1,ROOT
TAPE,ROOT
WAND,ROOT
SHAD,ROOT
BL,Bleached
DE,Dead
DI,Diseased
RD,Recently dead
LES,Lesion
STD,Storm damage
SED,Sediment damage
UB,Urchin barren
IS,Iceberg scour
VE,Veneer
E,Epiphyte
R,Recruits
MACS,80000000
