cpc_code,caab_code
A10F,10000915
A11OF,10000914
A12BT,10000915
A13O,10000915
A14B,10000915
A15WS,10000915
A16BT,10000914
A17SG,10000915
A1Cl,35000903
A1WF,10000914
A2Cl,35000903
A2GR,10000915
A3PT,10000915
A4OF,10000914
A4Sy,35000903
A5Sol,35000902
A5W,10000915
A6R,35000902
A6Y,10000915
A7PU,10000915
A7Sol,35000902
A8O,35000903
A8T,10000915
A9OT,10000915
ABAL,24000000
ANEM1,11229903
AS3O,35000903
ASC10,35000903
ASC11C,35000903
ASC12CR,35000903
ASC9,35000903
B1O,10000915
B2B,10000915
B3P,10000915
B4B,10000915
B5L,20000903
B7H,20000903
BH1G,80000000
BIOT,81000000
BOCF,80300902
BPRL,10000915
BRUB,82001007
BRY1,20000903
BRY2,20000905
BRY3,20000905
BRY4,20000903
BRY5,20000905
BRY6,20000905
BS,25160901
BSM1,80000000
BUST,80300000
C1R,10000908
C1W,10000910
C2S,11168911
C2WF,10000910
C3B,10000910
C3BR,11168904
C4BR,11168904
C4BT,10000910
C5OS,11290903
C5R,10000910
C6PT,10000907
C6SB,11168911
C7LPFT,10000910
C7SY,11168901
C8Y,10000910
CAL,80300000
CENOL,25001902
Chimaera,37990028
COD,80300000
CSP,10000910
DRIFT,80300000
E1OR,10000902
E2OR,10000902
E3Y,10000902
E4BL,10000902
E5BR,10000902
E6WH,10000902
E7G,10000902
ECK,80300902
ECOR,80300929
Eel,37990025
F10,10000913
F11PT,10000913
F12BT,10000913
F13OF,10000910
F14WT,10000914
F15OT,10000913
F1OR,10000913
F2BR,10000915
F3OF,10000913
F4PI,10000910
F5PE,10000913
F6Y,10000913
F7ORT,10000913
F8BT,10000913
F9ORT,10000913
G1OR,10000905
G1P,11168915
G2R,11168915
G2WH,10000905
G3BL,10000905
G4O,10000905
G5G,10000905
GO,80300924
GRAV,82001006
HOL,25400000
HYD1,11001000
HYD2,11001000
HydW,11001000
L1PS,10000915
L2O,10000904
L3W,10000904
L4P,10000904
L5Y,10000904
L6OY,10000904
M1,10000904
M10BR,10000904
M11WH,10000904
M12YP,10000904
M13WP,10000904
M14OR,10000904
M15PS,10000904
M16P,10000904
M17WL,10000904
M18OH,10000904
M19,10000904
M2,10000904
M20P,10000904
M21,10000904
M22,10000904
M23OR,10000904
M24BL,10000904
M3OR,10000904
M4DON,10000907
M5,10000913
M6VEL,10000904
M7BL,10000904
M8,10000904
M9WH,10000904
MATR,80000000
MOL,23000000
NZSS,24000000
OMB1,10000904
P1SU,10000902
P2Y,10000902
P3B,10000902
P4LO,10000905
P5BB,10000905
PARA1,11284000
PHY,80300902
R1B,10000917
R2B,10000917
RFOL,80300000
ROCK,82001001
SAND,82001013
SAR,80300904
SC3DR,11168911
SCAL,23199000
SE1C,10000916
SE2P,10000916
Shark,37990016
SK8/Ray,37990030
SOND,80300921
SPEN,11168918
SPS,24000000
SS,25102000
SW1,11168917
T10OT,10000915
T11B,10000911
T12PO,10000907
T13,10000911
T14S,10000911
T15F,10000911
T1PI,10000911
T2,10000911
T3WC,10000902
T4T,10000911
T5,10000907
T6WT,10000911
T7PT,10000911
T8OR,10000911
T9PP,10000915
THAM,80300910
TURF,80300930
TW1,22000901
UNA,80300000
UNID1,10000917
UNID10,10000914
UNID100,10000913
UNID101,11001000
UNID102,10000910
UNID103,10000911
UNID104,10000904
UNID105,10000904
UNID106,10000904
UNID107,10000913
UNID108,10000904
UNID109,20000905
UNID11,10000905
UNID110,10000915
UNID111,10000910
UNID112,10000911
UNID113,10000911
UNID114,10000906
UNID115,10000902
UNID116,10000904
UNID117,35000903
UNID12,10000904
UNID120,10000904
UNID121,10000913
UNID123,10000904
UNID124,10000902
UNID125,10000904
UNID126,10000907
UNID127,10000911
UNID128,10000904
UNID129,10000902
UNID13,10000904
UNID130,10000904
UNID131,10000911
UNID132,10000907
UNID133,10000904
UNID134,10000904
UNID135,10000907
UNID136,10000902
UNID137,10000902
UNID138,10000911
UNID139,10000904
UNID14,10000904
UNID140,10000904
UNID141,10000904
UNID142,10000904
UNID143,10000914
UNID144,10000904
UNID145,10000904
UNID146,10000902
UNID147,10000911
UNID148,10000902
UNID149,10000911
UNID15,35000902
UNID150,10000902
UNID151,10000902
UNID152,10000902
UNID153,10000904
UNID154,10000904
UNID155,10000904
UNID156,10000915
UNID157,10000904
UNID158,10000913
UNID159,10000915
UNID16,35000902
UNID160,10000911
UNID161,10000904
UNID162,10000902
UNID163,10000911
UNID164,10000904
