cpc_code,caab_code
OthInv,80000000
Red,80300000
Brown,80300000
Green,80300000
Turf,80300000
UnFo,80300000
ARC,80300913
Canop,80300901
Eck,80300902
Scyt,80300902
EnCA,80300926
EnAO,80300926
Rhod,80300929
Sar,80300904
Cyst,80300904
Caul,80300905
Fila,80300930
Ulva,80300924
Ascid,35000000
BrO,20000000
BrOrt,20000000
BrAde,20000000
Brenc,20000000
HydAn,11500000
Gorg,11168000
BlCor,11168901
OCor,11290000
EnCo,11290908
Mass,11290906
SubM,11290905
Star,25000000
Urch,25200000
Bival,23199000
Turbo,24000000
Amphi,63600901
Posid,63600901
Thala,63600901
Spon,10000000
SIR,82001000
Bare,82001002
CoRub,82001009
Grav,82001006
Sand,82001013
UnIQ,ROOT
UnID,ROOT
Plate,11168000
WAND,ROOT
Tablet,11290000
SoCo,11290000
Sarg,80300000
SHAD,ROOT
Bl Cor,11168901
D Cor,11168000
Foli,11290000
Bran,11290000
O Cor,11290000
ModSp,10000000
LoSlo,10000000
High,ROOT
LowSp,10000000
CSand,82001014
RfSd,ROOT
BlTabl,11168000
Low,ROOT
BlSubM,11168000
AZP,ROOT
3recs,ROOT
AMPHI,63600901
2recs,ROOT
NoSp,?????
Flat,ROOT
HighSp,10000000
BlMass,11168000
1recs,ROOT
BlOCor,11168000
RIP,82002000
NoAlg,?????
BlBran,11168000
SoCor,11168000
5recs,ROOT
SGC,ROOT
ObsRf,????
GRA,82001006
Mod,ROOT
UnkID,ROOT
BlFoli,11168000
BlPlate,11168000
0recs,ROOT
BrEnc,20000000
none,ROOT
LowAlg,80300000
WAVE,82002000
HighAlg,80300000
Cob,82001004
Boulders,82001003
Rock,82001002
Steep,ROOT
BIOTUR,82002005
ModSlo,ROOT
DCor,11168000
BlEnCo,11168000
TAPE,ROOT
Whip,11168917
ModAlg,80300000
4recs,ROOT
Sandy,82001013
