cpc_code,caab_code
OthInv,80000000
Red,80300000
Brown,80300000
Green,80300000
Turf,80300000
UnFo,80300000
ARC,80300913
Canop,80300901
Eck,80300902
Scyt,80300902
EnCA,80300926
EnAO,80300926
Rhod,80300929
Sar,80300904
Cyst,80300904
Caul,80300905
Fila,80300930
Ulva,80300924
Ascid,35000000
BrO,20000000
BrOrt,20000000
BrAde,20000000
Brenc,20000000
HydAn,11500000
Gorg,11168000
BlCor,11168901
OCor,11290000
EnCo,11290908
Mass,11290906
SubM,11290905
Star,25000000
Urch,25200000
Bival,23199000
Turbo,24000000
Amphi,63600901
Posid,63600901
Thala,63600901
Spon,10000000
SIR,82001000
Bare,82001002
CoRub,82001009
Grav,82001006
Sand,82001013
UnIQ,ROOT
UnID,ROOT
Plate,11168000
