cpc_code,caab_code,label_id,description
CO,11168000,126,Cnidaria: Corals
DC,11168000,126,Cnidaria: Corals
CSC,11290000,127,Cnidaria: Corals: Stony corals
C1,11290000,127,Cnidaria: Corals: Stony corals
C2,11290000,127,Cnidaria: Corals: Stony corals
C3,11290000,127,Cnidaria: Corals: Stony corals
FAV,11290000,127,Cnidaria: Corals: Stony corals
FAV1,11290000,127,Cnidaria: Corals: Stony corals
ACRO,11291901,288,Cnidaria: Corals: Stony corals: Acropora
ACRO1,11291901,288,Cnidaria: Corals: Stony corals: Acropora
TAR,11291901,288,Cnidaria: Corals: Stony corals: Acropora
EAR,11291901,288,Cnidaria: Corals: Stony corals: Acropora
DAR,11291901,288,Cnidaria: Corals: Stony corals: Acropora
CAR,11291901,288,Cnidaria: Corals: Stony corals: Acropora
BAR,11291901,288,Cnidaria: Corals: Stony corals: Acropora
MON,11291904,289,Cnidaria: Corals: Stony corals: Montipora
EMON,11291904,289,Cnidaria: Corals: Stony corals: Montipora
TUR,11320915,290,Manually changed from 54105903 (code given in cpc code file not exist in db)
TUB,11320914,291,Cnidaria: Corals: Stony corals: Tubastrea/Dendrophyllia
Blank,1,273,Unscorable.
TWS1,2,274,Not of Interest
TAPE,2,274,Not of Interest
WAND,2,274,Not of Interest
SHAD,1,273,Unscorable.
CTAB,11290911,128,Cnidaria: Corals: Stony corals: Tabulate
TARS,11291114,346,Cnidaria: Corals: Stony corals: Tabulate: Acropora solitaryensis/glauca
CSM,11290905,129,Cnidaria: Corals: Stony corals: Sub-massive
SMFA,11290905,129,Cnidaria: Corals: Stony corals: Sub-massive
SMM,11290905,129,Cnidaria: Corals: Stony corals: Sub-massive
SMMC,11290905,129,Cnidaria: Corals: Stony corals: Sub-massive
SMF,11290905,129,Cnidaria: Corals: Stony corals: Sub-massive
SMCY,11305904,347,Cnidaria: Corals: Stony corals: Sub-massive: Cyphastrea
SMFE,11305908,348,Cnidaria: Corals: Stony corals: Sub-massive: Favites
SMGO,11305909,349,Cnidaria: Corals: Stony corals: Sub-massive: Goniastrea
SMGA,11305055,350,Cnidaria: Corals: Stony corals: Sub-massive: Goniastrea Australensis 
SMPA,11305916,351,Cnidaria: Corals: Stony corals: Sub-massive: Platygyra
SMPV,11305093,352,Cnidaria: Corals: Stony corals: Sub-massive:  Plesiastrea Versipora
SMH,11305919,294,Cnidaria: Corals: Stony corals: Sub-massive: Hydnophora
SMAA,11307901,354,Cnidaria: Corals: Stony corals: Sub-massive: Acanthastrea
SMAE,11307003,355,Cnidaria: Corals: Stony corals: Sub-massive: Acanthastrea echinata
SMAH,11307006,356,Cnidaria: Corals: Stony corals: Sub-massive: Acanthastrea hillae 
SMAL,11307008,357,Cnidaria: Corals: Stony corals: Sub-massive: Acanthastrea lordhowensis
SMG,11325902,295,Cnidaria: Corals: Stony corals: Sub-massive: Goniopora/Alveopora
SMPO,11325903,359,Cnidaria: Corals: Stony corals: Sub-massive: Porites
SMPH,11325044,360,Cnidaria: Corals: Stony corals: Sub-massive: Porites heronensis 
SMPS,11302901,361,Cnidaria: Corals: Stony corals: Sub-massive: Psammacora
SMCO,11296901,303,Cnidaria: Corals: Stony corals: Foliose / plate: Coscinaraea
FCO,11296901,303,Cnidaria: Corals: Stony corals: Foliose / plate: Coscinaraea
CMAS,11290906,134,Cnidaria: Corals: Stony corals: Massive
MMU,11290906,134,Cnidaria: Corals: Stony corals: Massive
CFOL,11290907,136,Cnidaria: Corals: Stony corals: Foliose / plate
FPEC,11290907,136,Cnidaria: Corals: Stony corals: Foliose / plate
FTF,11320007,299,Cnidaria: Corals: Stony corals: Foliose / plate: Turbinaria frondens 
FTM,11320010,300,Cnidaria: Corals: Stony corals: Foliose / plate: Turbinaria mesenterina 
FTPA,11320011,371,Cnidaria: Corals: Stony corals: Foliose / plate: Turbinaria patula 
FTPE,11320012,372,Cnidaria: Corals: Stony corals: Foliose / plate: Turbinaria peltata 
FEC,11290917,301,Manually changed from 11307913 (Cnidaria: Corals: Stony corals: Foliose / plate: Echynophyllia)
