cpc_code,caab_code,label_id,description
A10F,10000915,27,Sponges: Erect forms: Branching
A12BT,10000915,27,Sponges: Erect forms: Branching
A13O,10000915,27,Sponges: Erect forms: Branching
A14B,10000915,27,Sponges: Erect forms: Branching
A15WS,10000915,27,Sponges: Erect forms: Branching
A17SG,10000915,27,Sponges: Erect forms: Branching
A2GR,10000915,27,Sponges: Erect forms: Branching
A3PT,10000915,27,Sponges: Erect forms: Branching
A5W,10000915,27,Sponges: Erect forms: Branching
A6Y,10000915,27,Sponges: Erect forms: Branching
A7PU,10000915,27,Sponges: Erect forms: Branching
A8T,10000915,27,Sponges: Erect forms: Branching
A9OT,10000915,27,Sponges: Erect forms: Branching
B1O,10000915,27,Sponges: Erect forms: Branching
B2B,10000915,27,Sponges: Erect forms: Branching
B3P,10000915,27,Sponges: Erect forms: Branching
B4B,10000915,27,Sponges: Erect forms: Branching
BPRL,10000915,27,Sponges: Erect forms: Branching
F2BR,10000915,27,Sponges: Erect forms: Branching
L1PS,10000915,27,Sponges: Erect forms: Branching
T10OT,10000915,27,Sponges: Erect forms: Branching
T9PP,10000915,27,Sponges: Erect forms: Branching
UNID110,10000915,27,Sponges: Erect forms: Branching
UNID156,10000915,27,Sponges: Erect forms: Branching
UNID159,10000915,27,Sponges: Erect forms: Branching
UNID169,10000915,27,Sponges: Erect forms: Branching
UNID20,10000915,27,Sponges: Erect forms: Branching
UNID26,10000915,27,Sponges: Erect forms: Branching
UNID27,10000915,27,Sponges: Erect forms: Branching
UNID45,10000915,27,Sponges: Erect forms: Branching
UNID51,10000915,27,Sponges: Erect forms: Branching
UNID59,10000915,27,Sponges: Erect forms: Branching
UNID64,10000915,27,Sponges: Erect forms: Branching
UNID71,10000915,27,Sponges: Erect forms: Branching
UNID76,10000915,27,Sponges: Erect forms: Branching
UNID81,10000915,27,Sponges: Erect forms: Branching
UNID95,10000915,27,Sponges: Erect forms: Branching
YFF1,10000915,27,Sponges: Erect forms: Branching
