auv_image_name,mod_image_name
PR_20101021_035756_662_LC16,HSthBroad2010_T1a
PR_20101021_035818_646_LC16,HSthBroad2010_T1b
PR_20101021_035849_632_LC16,HSthBroad2010_T1c
PR_20101021_035920_625_LC16,HSthBroad2010_T1d
PR_20101021_035949_621_LC16,HSthBroad2010_T1e
PR_20101021_040014_643_LC16,HSthBroad2010_T1f
PR_20101021_040039_641_LC16,HSthBroad2010_T1g
PR_20101021_040103_603_LC16,HSthBroad2010_T1h
PR_20101021_040127_625_LC16,HSthBroad2010_T1i
PR_20101021_040152_565_LC16,HSthBroad2010_T1j
PR_20101021_040213_575_LC16,HSthBroad2010_T2a
PR_20101021_040238_572_LC16,HSthBroad2010_T2b
PR_20101021_040304_544_LC16,HSthBroad2010_T2c
PR_20101021_040348_566_LC16,HSthBroad2010_T2d
PR_20101021_040412_537_LC16,HSthBroad2010_T2e
PR_20101021_040435_528_LC16,HSthBroad2010_T2f
PR_20101021_040502_556_LC16,HSthBroad2010_T2g
PR_20101021_040526_549_LC16,HSthBroad2010_T2h
PR_20101021_040550_515_LC16,HSthBroad2010_T2i
PR_20101021_040613_504_LC16,HSthBroad2010_T2j
PR_20101021_040635_508_LC16,HSthBroad2010_T3a
PR_20101021_040658_494_LC16,HSthBroad2010_T3b
PR_20101021_040723_493_LC16,HSthBroad2010_T3c
PR_20101021_040747_469_LC16,HSthBroad2010_T3d
PR_20101021_040810_457_LC16,HSthBroad2010_T3e
PR_20101021_040832_444_LC16,HSthBroad2010_T3f
PR_20101021_040854_483_LC16,HSthBroad2010_T3g
PR_20101021_040915_440_LC16,HSthBroad2010_T3h
PR_20101021_040941_438_LC16,HSthBroad2010_T3i
PR_20101021_041004_429_LC16,HSthBroad2010_T3j
PR_20101021_041029_422_LC16,HSthBroad2010_T4a
PR_20101021_041052_411_LC16,HSthBroad2010_T4b
PR_20101021_041116_425_LC16,HSthBroad2010_T4c
PR_20101021_041141_400_LC16,HSthBroad2010_T4d
PR_20101021_041207_426_LC16,HSthBroad2010_T4e
PR_20101021_041228_379_LC16,HSthBroad2010_T4f
PR_20101021_041250_380_LC16,HSthBroad2010_T4g
PR_20101021_041314_370_LC16,HSthBroad2010_T4h
PR_20101021_041336_344_LC16,HSthBroad2010_T4i
PR_20101021_041358_382_LC16,HSthBroad2010_T4j
PR_20101021_041934_778_LC16,HSthBroad2010_T5a
PR_20101021_042001_737_LC16,HSthBroad2010_T5b
PR_20101021_042027_741_LC16,HSthBroad2010_T5c
PR_20101021_042053_723_LC16,HSthBroad2010_T5d
PR_20101021_042116_712_LC16,HSthBroad2010_T5e
PR_20101021_042150_710_LC16,HSthBroad2010_T5f
PR_20101021_042217_686_LC16,HSthBroad2010_T5g
PR_20101021_042242_680_LC16,HSthBroad2010_T5h
PR_20101021_042305_683_LC16,HSthBroad2010_T5i
PR_20101021_042328_668_LC16,HSthBroad2010_T5j
PR_20101021_042352_653_LC16,HSthBroad2010_T6a
PR_20101021_042418_652_LC16,HSthBroad2010_T6b
PR_20101021_042444_650_LC16,HSthBroad2010_T6c
PR_20101021_042509_645_LC16,HSthBroad2010_T6d
PR_20101021_042533_639_LC16,HSthBroad2010_T6e
PR_20101021_042606_658_LC16,HSthBroad2010_T6f
PR_20101021_042638_621_LC16,HSthBroad2010_T6g
PR_20101021_042701_610_LC16,HSthBroad2010_T6h
PR_20101021_042724_620_LC16,HSthBroad2010_T6i
PR_20101021_042748_613_LC16,HSthBroad2010_T6j
PR_20101021_042816_577_LC16,HSthBroad2010_T7a
PR_20101021_042849_562_LC16,HSthBroad2010_T7b
PR_20101021_042932_557_LC16,HSthBroad2010_T7c
